,0,1,2,3
916042,0.0,2.0,8.0,32.0
273787,16.0,1.0,0.5,1.0
276367,2.0,16.0,2.0,1.0
270832,128.0,0.5,16.0,32.0
914035,0.0,8.0,16.0,4.0
276464,2.0,8.0,2.0,8.0
77011,1.0,64.0,0.0,64.0
918006,0.0,0.5,128.0,2.0
279775,0.25,1.0,1.0,4.0
278103,0.5,64.0,128.0,16.0
271164,64.0,64.0,2.0,8.0
272855,32.0,0.5,4.0,4.0
271251,64.0,32.0,4.0,64.0
277465,1.0,8.0,2.0,4.0
276160,2.0,64.0,2.0,128.0
278337,0.5,16.0,16.0,1.0
68008,0.5,128.0,0.5,0.0
277286,1.0,32.0,0.5,2.0
275593,4.0,4.0,0.25,16.0
275670,4.0,2.0,1.0,128.0
273373,16.0,16.0,1.0,16.0
274829,8.0,0.5,32.0,0.25
276935,2.0,0.25,16.0,4.0
110043,128.0,0.0,8.0,16.0
117020,1.0,0.0,32.0,128.0
79055,0.25,4.0,0.0,4.0
277633,1.0,2.0,16.0,16.0
270868,128.0,0.5,2.0,0.5
277519,1.0,4.0,64.0,0.25
911050,0.0,64.0,4.0,128.0
73057,16.0,4.0,0.0,1.0
273530,16.0,4.0,16.0,128.0
277825,1.0,0.5,32.0,4.0
271440,64.0,8.0,8.0,128.0
270145,128.0,64.0,8.0,4.0
62051,32.0,4.0,64.0,0.0
65045,4.0,8.0,4.0,0.0
77090,1.0,0.25,0.0,128.0
279231,0.25,32.0,16.0,64.0
270159,128.0,64.0,4.0,0.25
76057,2.0,4.0,0.0,1.0
272755,32.0,1.0,4.0,4.0
1710086,0.0,0.0,0.5,2.0
273238,16.0,32.0,16.0,0.5
271746,64.0,1.0,8.0,2.0
276598,2.0,4.0,0.25,0.5
271614,64.0,2.0,64.0,8.0
115053,4.0,0.0,4.0,16.0
276191,2.0,64.0,0.25,64.0
273143,16.0,64.0,8.0,16.0
278349,0.5,16.0,8.0,0.25
274922,8.0,0.25,32.0,32.0
279197,0.25,64.0,0.25,1.0
271599,64.0,4.0,0.25,0.25
